Quarryfield flg22Psy							
OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
304694	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__	 g__	 s__
4453743	k__Bacteria	 p__Bacteroidetes	 c__Flavobacteriia	 o__Flavobacteriales	 f__[Weeksellaceae]	 g__Chryseobacterium	 s__
609236	k__Bacteria	 p__FCPU426	 c__	 o__	 f__	 g__	 s__
4425792	k__Bacteria	 p__Actinobacteria	 c__Actinobacteria	 o__Actinomycetales	 f__Streptomycetaceae	 g__Streptomyces	 s__
206560	k__Bacteria	 p__Verrucomicrobia	 c__[Pedosphaerae]	 o__[Pedosphaerales]	 f__	 g__	 s__
271922	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Paenibacillaceae	 g__Paenibacillus	 s__
437014	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Paenibacillaceae	 g__Cohnella	 s__
							
Tayport Mock							
"184325"	"k__Bacteria"	" p__Proteobacteria"	" c__Gammaproteobacteria"	" o__Xanthomonadales"	" f__Xanthomonadaceae"	" g__Rhodanobacter"	" s__"
"829266"	"k__Bacteria"	" p__Proteobacteria"	" c__Gammaproteobacteria"	" o__Xanthomonadales"	" f__Xanthomonadaceae"	" g__"	" s__"
"1120966"	"k__Bacteria"	" p__Proteobacteria"	" c__Betaproteobacteria"	" o__Burkholderiales"	" f__Comamonadaceae"	" g__Polaromonas"	" s__"
"4361039"	"k__Bacteria"	" p__Proteobacteria"	" c__Alphaproteobacteria"	" o__Sphingomonadales"	" f__Sphingomonadaceae"	" g__"	" s__"
"243129"	"k__Bacteria"	" p__Proteobacteria"	" c__Alphaproteobacteria"	" o__Sphingomonadales"	" f__Sphingomonadaceae"	" g__Sphingomonas"	" s__"
"360547"	"k__Bacteria"	" p__Proteobacteria"	" c__Alphaproteobacteria"	" o__Rhizobiales"	" f__Phyllobacteriaceae"	" g__"	" s__"
"537883"	"k__Bacteria"	" p__Proteobacteria"	" c__Alphaproteobacteria"	" o__Rhizobiales"	" f__Hyphomicrobiaceae"	" g__"	" s__"
"1118704"	"k__Bacteria"	" p__Bacteroidetes"	" c__Cytophagia"	" o__Cytophagales"	" f__Cytophagaceae"	" g__"	" s__"
"81414"	"k__Bacteria"	" p__Bacteroidetes"	" c__[Saprospirae]"	" o__[Saprospirales]"	" f__Chitinophagaceae"	" g__"	" s__"
"103366"	"k__Bacteria"	" p__BRC1"	" c__PRR-11"	" o__"	" f__"	" g__"	" s__"
"1138397"	"k__Bacteria"	" p__Actinobacteria"	" c__Actinobacteria"	" o__Actinomycetales"	" f__Streptomycetaceae"	" g__Streptomyces"	" s__"
"1144585"	"k__Bacteria"	" p__Actinobacteria"	" c__Actinobacteria"	" o__Actinomycetales"	" f__Microbacteriaceae"	" g__Salinibacterium"	" s__"
"4465540"	"k__Bacteria"	" p__Actinobacteria"	" c__Actinobacteria"	" o__Actinomycetales"	" f__Intrasporangiaceae"	" g__Terracoccus"	" s__"
"1126587"	"k__Bacteria"	" p__Actinobacteria"	" c__Actinobacteria"	" o__Actinomycetales"	" f__Actinosynnemataceae"	" g__"	" s__"
"4310319"	"k__Bacteria"	" p__Actinobacteria"	" c__Actinobacteria"	" o__Actinomycetales"	" f__Pseudonocardiaceae"	" g__"	" s__"
"584319"	"k__Bacteria"	" p__Actinobacteria"	" c__Actinobacteria"	" o__Actinomycetales"	" f__Pseudonocardiaceae"	" g__Amycolatopsis"	" s__"
"3043332"	"k__Bacteria"	" p__Actinobacteria"	" c__Actinobacteria"	" o__Actinomycetales"	" f__Pseudonocardiaceae"	" g__Amycolatopsis"	" s__"
"4362819"	"k__Bacteria"	" p__Actinobacteria"	" c__Actinobacteria"	" o__Actinomycetales"	" f__Nocardioidaceae"	" g__"	" s__"
"856926"	"k__Bacteria"	" p__Verrucomicrobia"	" c__[Pedosphaerae]"	" o__[Pedosphaerales]"	" f__"	" g__"	" s__"
"1137563"	"k__Bacteria"	" p__Verrucomicrobia"	" c__Opitutae"	" o__Opitutales"	" f__Opitutaceae"	" g__Opitutus"	" s__"
"1081222"	"k__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Bacillales"	" f__Paenibacillaceae"	" g__Paenibacillus"	" s__"
